stop_id,stop_name,latitude,longitude,zone_id,location_type,parent_station,wheelchair_boarding,platform_code,ObjectId,GlobalID,x,y
U17511Z2,"Hoštice-Heroltice, Hoštice, kostel",49.287322,17.065606,750,0,U17511N2440,2\,,5737,88d54330-44cf-4874-8d99-c4a3d304fa65,1899734.56999863,6323755.2959354
U17530Z2,"Pustiměř, rozcestí",49.318965,17.026078,750,0,U17530N2407,2\,,5738,9abf490a-35e5-48a3-9f18-414e0476f999,1895334.33316656,6329157.4062553
U18139Z3,"Únanov, závod",48.888422,16.064178,812,0,U18139N907,2\,,5739,17d0a2c8-7290-4728-b943-3d162a59245a,1788256.11497251,6255950.10488808
U18401Z2,"Blížkovice, náměstí",48.999513,15.840092,845,0,U18401N2575,2\,,5740,8fad3e34-9e64-4eb9-8976-d0df0a9ec251,1763310.97555861,6274778.76069984
U16845Z1,Labuty,49.046592,17.212272,689,0,U16845N2352,2\,,5741,ef9c0d1b-0f0f-44bc-8b25-9df3327c4213,1916061.35443532,6282770.78249426
U16412Z1,"Kojátky, Kaštanov",49.169503,17.023095,645,0,U16412N2310,2\,,5742,038e64a1-4e75-4cab-b57e-5873c036d6cd,1895002.26712552,6303671.60051151
U17529Z2,"Pustiměř, u kříže",49.314145,17.02913,750,0,U17529N2406,2\,,5743,395b1fdb-0448-47df-b9a7-2a74970e8477,1895674.08025246,6328334.30920615
U17514Z2,"Ivanovice na Hané, aut. st.",49.304593,17.088863,750,0,U17514N369,2\,,5744,9599b71e-8fb1-4dd1-ad64-50e6eab73bdd,1902323.52739601,6326703.38053818
U18138Z3,"Únanov, obecní úřad",48.900695,16.063443,812,0,U18138N908,2\,,5745,4dc957d4-20ed-43f9-ace5-243d35fc8d43,1788174.29514677,6258028.18040466
U18402Z2,"Blížkovice, zdravotní středisko",48.997813,15.83949,845,0,U18402N2576,2\,,5746,99014f2b-1a05-4f6b-9997-4b02a4db0614,1763243.96122515,6274490.31401109
U16851Z1,Vřesovice,49.058695,17.215023,689,0,U16851N2353,2\,,5747,4fa390e6-d5aa-42c4-93bf-997ce6facf69,1916367.59435449,6284826.58215066
U16414Z1,"Kojátky, dědina",49.171662,17.028202,645,0,U16414N2309,2\,,5748,ceb7eefe-059c-4911-b81b-6aee9a613c2c,1895570.775765,6304039.19825522
U17516Z1,"Ivanovice na Hané, Žižkova",49.306818,17.095633,750,0,U17516N2441,2\,,5749,1a4ec346-6bcc-4d14-837b-6a824b93a26d,1903077.16034868,6327083.25349185
U18136Z3,Plaveč,48.929175,16.079838,812,0,U18136N1910,2\,,5750,0786c95d-eb74-4ab5-98a2-25fea830dd36,1789999.37819833,6262852.40668218
U16852Z1,"Vřesovice, Paseky",49.059433,17.21966,689,0,U16852N2354,2\,,5751,9d476a4f-3df3-4535-8fad-68189b02a3a7,1916883.7828333,6284951.95405122
U17455Z2,"Vyškov, letiště",49.302188,17.021911,740,0,U17455N2405,2\,,5752,3eb16128-4db2-4a4d-bf1c-2c15153624e9,1894870.46484842,6326292.7955799
U16430Z1,"Bučovice, Černčín, ZD",49.15532,17.021122,645,0,U16430N2312,2\,,5753,56bbfcc4-4947-449d-91f7-bcb2b594b70a,1894782.63377019,6301257.15930841
U18336Z2,"Ctidružice, u parku",48.982217,15.861702,835,0,U18336N2577,2\,,5754,eccbe79a-51c5-49c5-8574-69a73fb3c463,1765716.58975465,6271844.52946549
U17515Z1,"Ivanovice na Hané, u Škrku",49.301192,17.09391,750,0,U17515N2442,2\,,5755,e6691d57-38c4-48bb-ad39-26f7c06f3d2b,1902885.35686605,6326122.76293682
U18229Z3,"Němčičky, rozcestí",48.939468,16.083075,823,0,U18229N1960,2\,,5756,77ab3fd1-5011-42e1-a14a-b7cb05dc2ed8,1790359.71939003,6264596.61453933
U16848Z1,"Osvětimany, ZD",49.056377,17.243733,689,0,U16848N2355,2\,,5757,f9fdea40-e0f1-4fda-9661-85329580d0cd,1919563.57693517,6284432.81096945
U17403Z2,"Vyškov, Dukelská, nákup. středisko",49.281822,17.001412,740,0,U17403N2393,2\,,5758,11900bc0-68af-4471-b3f6-2ef316d46a0d,1892588.52660665,6322816.68665664
U16792Z2,"Koryčany, závod",49.111707,17.169467,666,0,U16792N2313,2\,,5759,513ffb3e-21d9-4e78-8e5d-d1f18de58c8b,1911296.32363191,6293837.0341896
U18339Z2,"Grešlové Mýto, železniční stanice",48.984552,15.874937,835,0,U18339N482,2\,,5760,031fd7c1-3686-436c-8512-ac6e2f5852f8,1767189.9032153,6272240.59799912
U17534Z1,"Ivanovice na Hané, Fischer",49.294996,17.095678,750,0,U17534N2443,2\,,5761,47006fe7-a2dc-4294-88dd-66509a320e31,1903082.16972577,6325065.08684399
U18333Z1,"Boskovštejn, hájenka",48.978287,15.947785,835,0,U18333N2537,2\,,5762,99e71511-abe0-452f-9291-16e1b3c24ea3,1775299.30548061,6271177.95494432
U16846Z2,Osvětimany,49.05585,17.24943,689,0,U16846N2356,2\,,5763,212cd8bc-44c9-4378-b32c-f8e3a9d4de5f,1920197.76407422,6284343.28919471
U17423Z5,"Vyškov, Autobusové nádraží",49.275403,16.991367,740,0,U17423N203,2\,12,5764,29493c5a-8eb5-4736-bf92-a672471ac444,1891470.32232163,6321721.37667323
U16792Z1,"Koryčany, závod",49.111695,17.169497,666,0,U16792N2313,2\,,5765,895bf44f-91a2-4bae-8f62-e76572518478,1911299.66321664,6293834.99346005
